planID,benefitClassID,effectiveDate,terminationDate,savedUserID,savedDateTime
163772,146424,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-18 10:01:00.980'
163772,146425,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-18 10:11:05.103'
163772,146426,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-18 10:12:05.620'
163773,145512,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:05:27.657'
163773,145513,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 10:59:52.580'
163773,145514,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:06:06.517'
163773,145515,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:08:04.707'
163773,145518,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:04:38.450'
163773,145537,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 10:57:05.013'
163773,145538,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:00:34.740'
163773,145586,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:03:20.230'
163773,145774,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:01:55.803'
163773,145775,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:04:02.687'
163773,145821,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 10:56:05.243'
163773,145822,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 10:57:57.967'
163773,145823,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:01:10.397'
163773,145824,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:02:33.353'
163773,145898,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:07:17.597'
163773,146388,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:53:01.713'
163773,146389,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:54:00.893'
163773,146390,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:55:01.450'
163773,146391,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:56:01.550'
163773,146392,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:57:01.007'
163774,145512,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:31:27.380'
163774,145513,'2018-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 23:36:01.977'
163774,145514,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:33:04.277'
163774,145518,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:30:04.707'
163774,145519,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:45:59.790'
163774,145537,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:12:07.757'
163774,145538,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:21:54.593'
163774,145586,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:27:36.650'
163774,145754,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:47:16.243'
163774,145755,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:48:44.680'
163774,145756,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9277809,'2018-10-17 16:49:25.383'
163774,145774,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:25:13.443'
163774,145775,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:29:17.860'
163774,145821,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:10:24.803'
163774,145822,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:16:24.197'
163774,145823,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:23:48.283'
163774,145824,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:26:47.117'
163774,146388,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:53:01.713'
163774,146389,'2018-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:54:00.893'
163774,146390,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:55:01.450'
163774,146391,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:56:01.550'
163774,146392,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:57:01.007'
163774,146422,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-12 13:30:01.243'
163774,146424,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-18 10:01:00.980'
163774,146425,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-18 10:11:05.103'
163774,146426,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-02-18 10:12:05.620'
163775,145512,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:30:53.397'
163775,145513,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:18:47.183'
163775,145514,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:32:24.570'
163775,145518,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:30:25.753'
163775,145537,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:11:26.083'
163775,145538,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:22:21.673'
163775,145586,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:27:57.387'
163775,145774,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:25:37.803'
163775,145775,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:28:35.310'
163775,145821,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:10:50.147'
163775,145822,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:15:45.337'
163775,145823,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:23:15.470'
163775,145824,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',4968298,'2018-10-16 11:26:12.520'
163775,146388,'1900-01-01 00:00:00.000','2018-12-31 00:00:00.000',9408554,'2019-01-29 13:53:01.713'
